mode,cycle,if_valid,if_pc,if_instr,id_valid,id_pc,id_instr,ex_valid,ex_pc,ex_instr,mem_valid,mem_pc,mem_instr,wb_valid,wb_pc,wb_instr,dmem_valid,dmem_ready
2,1244,1,00000084,38ee38ea,1,00000080,01cf302a,1,0000007c,00025383,1,00000078,29ce50eb,1,00000074,0104302a,0,0
2,1245,1,00000088,000f1303,1,00000084,38ee38ea,1,00000080,01cf302a,1,0000007c,00025383,1,00000078,29ce50eb,0,0
2,1246,1,0000008c,01057821,1,00000088,000f1303,1,00000084,38ee38ea,1,00000080,01cf302a,1,0000007c,00025383,0,0
2,1247,1,00000090,296ed6ff,1,0000008c,01057821,1,00000088,000f1303,1,00000084,38ee38ea,1,00000080,01cf302a,0,0
2,1248,1,00000094,000e7c02,1,00000090,296ed6ff,1,0000008c,01057821,1,00000088,000f1303,1,00000084,38ee38ea,0,0
2,1249,1,00000098,01e86826,1,00000094,000e7c02,1,00000090,296ed6ff,1,0000008c,01057821,1,00000088,000f1303,0,0
2,1250,1,0000009c,ac040058,1,00000098,01e86826,1,00000094,000e7c02,1,00000090,296ed6ff,1,0000008c,01057821,0,0
2,1251,1,000000a0,8c0f0058,1,0000009c,ac040058,1,00000098,01e86826,1,00000094,000e7c02,1,00000090,296ed6ff,0,0
2,1252,1,000000a4,01ef7021,1,000000a0,8c0f0058,1,0000009c,ac040058,1,00000098,01e86826,1,00000094,000e7c02,0,0
2,1253,1,000000a8,000c3843,1,000000a4,01ef7021,1,000000a0,8c0f0058,1,0000009c,ac040058,1,00000098,01e86826,1,1
2,1254,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,1,0000009c,ac040058,1,0
2,1255,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1256,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1257,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1258,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1259,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1260,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1261,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1262,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1263,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1264,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1265,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,0
2,1266,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0000009c,ac040058,1,1
2,1267,1,000000ac,00c55825,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,1,000000a0,8c0f0058,0,0
2,1268,1,000000b0,390282d1,1,000000ac,00c55825,1,000000a8,000c3843,1,000000a4,01ef7021,0,000000a0,8c0f0058,0,0
2,1269,1,000000b4,00032642,1,000000b0,390282d1,1,000000ac,00c55825,1,000000a8,000c3843,1,000000a4,01ef7021,0,0
2,1270,1,000000b8,00c61824,1,000000b4,00032642,1,000000b0,390282d1,1,000000ac,00c55825,1,000000a8,000c3843,0,0
2,1271,1,000000bc,29c52b84,1,000000b8,00c61824,1,000000b4,00032642,1,000000b0,390282d1,1,000000ac,00c55825,0,0
2,1272,1,000000c0,000c0a40,1,000000bc,29c52b84,1,000000b8,00c61824,1,000000b4,00032642,1,000000b0,390282d1,0,0
2,1273,1,000000c4,006a102a,1,000000c0,000c0a40,1,000000bc,29c52b84,1,000000b8,00c61824,1,000000b4,00032642,0,0
2,1274,1,000000c8,2c6a0e0d,1,000000c4,006a102a,1,000000c0,000c0a40,1,000000bc,29c52b84,1,000000b8,00c61824,0,0
2,1275,1,000000cc,00086f42,1,000000c8,2c6a0e0d,1,000000c4,006a102a,1,000000c0,000c0a40,1,000000bc,29c52b84,0,0
2,1276,1,000000d0,ac080004,1,000000cc,00086f42,1,000000c8,2c6a0e0d,1,000000c4,006a102a,1,000000c0,000c0a40,0,0
2,1277,1,000000d4,8c050004,1,000000d0,ac080004,1,000000cc,00086f42,1,000000c8,2c6a0e0d,1,000000c4,006a102a,0,0
2,1278,1,000000d8,00a50821,1,000000d4,8c050004,1,000000d0,ac080004,1,000000cc,00086f42,1,000000c8,2c6a0e0d,0,0
2,1279,1,000000dc,244fabde,1,000000d8,00a50821,1,000000d4,8c050004,1,000000d0,ac080004,1,000000cc,00086f42,1,1
2,1280,1,000000dc,244fabde,1,000000d8,00a50821,0,000000d4,8c050004,1,000000d4,8c050004,1,000000d0,ac080004,1,0
2,1281,1,000000dc,244fabde,1,000000d8,00a50821,0,000000d4,8c050004,1,000000d4,8c050004,0,000000d0,ac080004,1,0
2,1282,1,000000dc,244fabde,1,000000d8,00a50821,0,000000d4,8c050004,1,000000d4,8c050004,0,000000d0,ac080004,1,0
2,1283,1,000000dc,244fabde,1,000000d8,00a50821,0,000000d4,8c050004,1,000000d4,8c050004,0,000000d0,ac080004,1,0
2,1284,1,000000dc,244fabde,1,000000d8,00a50821,0,000000d4,8c050004,1,000000d4,8c050004,0,000000d0,ac080004,1,0
2,1285,1,000000dc,244fabde,1,000000d8,00a50821,0,000000d4,8c050004,1,000000d4,8c050004,0,000000d0,ac080004,1,0
